ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
427,Jimbo,Log Console 4,,I posar al doctor en presó preventiva...,et pour mettre le Docteur aux arrêts...,und den Doktor in Gewahrsam zu nehmen ...,y poner al doctor bajo arresto...,e levar o doutor sob custódia...,И арестовывать доктора.,博士を拘束する...,박사를 구류하기 위해 이동 중이다.,并且将博士缉拿归案...,並且將博士緝拿歸案...
428,Jimbo,Log Console 5,,Registre de seguretat número 2312.,"Journal de sécurité, entrée n°2312.",Eintrag Nr. 2312 der Sicherheitsabteilung.,Registro de la Sección de Seguridad @2312.,"Registro do Departamento de Segurança, nº. 2312.",Запись в журнале охраны @2312.,セキュリティ部ログ2312号。,보안 요원 보고 기록 제2312번.,安保部日志第2312号。,安保部日誌第2312號。
429,Jimbo,Log Console 5,,"Sóc en Jimbo, informant.","Jimbo, au rapport.",Hier ist Jimbo.,Aquí Jimbo.,Aqui é o Jimbo.,Говорит Джимбо.,ジンボによる報告。,여기는 짐보. 보고한다.,我是金波。,我是金波。
430,Jimbo,Log Console 5,,El doctor s'ha tornat boig.,Le Docteur est devenu fou.,Der Doktor ist durchgedreht.,El doctor se ha vuelto loco.,O doutor enlouqueceu.,Доктор окончательно спятил.,博士がイカれちまった。,박사가 미쳤다.,博士疯了。,博士瘋了。
431,Jimbo,Log Console 5,,Ha modificat els sistemes de seguretat...,Les systèmes de sécurité ont été modifiés,Die Sicherheitssysteme wurden modifiziert,Los sistemas de seguridad han sido modificados,Os sistemas de segurança foram modificados,"Он перенастроил систему ""свой-чужой"" у охранных систем,",セキュリティシステムを改造し...,보안 시스템이 바뀌었다.,安保系统已被篡改，,安保系統已被篡改，
432,Jimbo,Log Console 5,,I ara apunten al personal del recinte.,pour s'attaquer à tout le personnel du centre de recherche.,und haben das Personal auf dem Gelände ins Visier genommen.,para que ataquen a todo el personal del complejo.,para atacar qualquer pessoa na área.,на территории теперь смертельно опасно находиться.,施設の全スタッフを襲っている。,시설 내의 모든 사람들이 목표로 지정된 상태다.,正在攻击所有机构内人员。,正在攻擊所有機構內人員。
433,Jimbo,Log Console 5,,La majoria dels meus companys o han mort o...,La plupart de mes collègues ont été tués ou...,Die meisten meiner Kollegen wurden entweder getötet oder ...,La mayoría de mis colegas han muerto o...,A maioria dos meus colegas foram mortos ou...,"Мои коллеги либо мертвы, либо...",同僚たちの多くは殺されるか...,내 동료들은 대부분이 죽거나...,我的同事们要么被击杀，要么...,我的同事們要麼被擊殺，要麼...
434,Jimbo,Log Console 5,,S'han convertit en una d'aquelles «coses».,"transformés en l'une de ces ""créatures"".",haben sich in eines dieser 'Dinger' verwandelt.,se han convertido en una de esas «cosas».,"transformados naquelas ""criaturas"".",либо еще что похуже.,「あれ」に変えられた。,그러한 '것들'로 변하였다.,"被他转化为某个""怪物""了。","被他轉化為某個""怪物""了。"
435,Jimbo,Log Console 5,,Estic fugint amb una de les càpsules de la superfície.,Je vais m'enfuir à bord d'une capsule d'évacuation.,Ich fliehe mit einer Fluchtkapsel zur Oberfläche.,Voy a huir con una de las cápsulas de escape de la superficie.,Estou a caminho da superfície para escapar em uma das cápsulas de fuga.,Попробую выбраться через капсулу на поверхности.,オレは地上のポッドで脱出する。,나는 수면 탈출 포드를 사용해 도주하고 있다.,我正通过地表逃生舱逃离建筑。,我正通過地表逃生艙逃離建築。
436,Jimbo,Log Console 5,,Malgrat no estic segur que sobreviuré...,"Et même si je ne suis pas sûr de survivre à cette expédition,","Ich bin mir nicht sicher, ob ich die Rückreise überleben werde,","Aunque no sé si sobreviviré al viaje de vuelta,","E ainda que eu não sobreviva à viagem de volta,","Вот уж не знаю, получится ли.",生きて帰れるかは不明だが、,"비록 내가 이 여행에서 살아남을 수 있을지 확실하진 않지만,",虽然我不确定回去的路上我能不能活下来，,雖然我不確定回去的路上我能不能活下來，
437,Jimbo,Log Console 5,,El meu cor estarà sempre amb les costes de la Terra 2.,j'espère pouvoir revoir les doux rivages de la 2e Terre.,doch mein Herz wird immer den Küsten von Erde 2 gehören.,mi corazón siempre estará en las costas de Tierra 2.,a Terra 2 sempre será meu lar.,"Но я слишком люблю тебя, Земля-2, чтобы дрожать здесь всю жизнь.",オレの心は常にアース2の 海岸と共にある。,내 심장은 항상 2 지구의 해변에 남을 것이다.,但我的心永远属于地球2号的海湾。,但我的心永遠屬於地球2號的海灣。
438,Jimbo,Log Console 5,,Canvi i fora.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,完毕。,完畢。
439,Gary,Log Console 6,,"Registre del capità, entrada 72.","Journal du capitaine, entrée 72.","Logbuch des Kapitäns, Eintrag 72.","Bitácora del capitán, entrada 72.","Registro do Capitão, nº. 72.","Бортовой журнал, запись 72.",船長日誌、第72号。,"게리의 기록, 엔트리 72.",船长日志，第72条。,船長日誌，第72條。
440,Gary,Log Console 6,,Han passat hores des que vam estavellar-nos.,Cela fait déjà plusieurs heures que nous nous sommes écrasés,Mehrere Stunden sind vergangen seit unserer Bruchlandung,Han pasado varias horas desde que nos estrellamos,Faz várias horas que nossa nave caiu,С момента нашего аварийного приземления на поверхность,このいまいましい星へ墜落してから,우리가 이 비참한 연구 행성에 착륙한지도,自从我们着陆失事起，已经好几个小时了,從我們降落失事開始，已經好幾個小時了
441,Gary,Log Console 6,,Quin planeta més desgraciat.,sur cette maudite planète.,auf diesem elenden Forschungsplaneten.,en este miserable planeta de investigación.,neste inóspito planeta de pesquisa.,этой богом забытой планеты прошло уже несколько часов.,数時間がたった。,몇 시간이 지났다.,我们坠毁在这个荒凉的研究性行星上。,我們墜毀在這個荒涼的研究性行星上。
442,Gary,Log Console 6,,La meva estimada Kiki va trepitjar la consola...,Ma petite Kiki a sauté sur la console et,Meine liebe Kiki ist auf die Konsole getreten und hat,Mi querida Kiki pisó la consola y estropeó,"Minha pequena Kiki pisou no painel, interrompendo","Падение вызвало то, что Кики, моя котейка,",愛するキキがコンソールを踏み,나의 고양이 나비가 콘솔에 올라타 착륙 시퀀스를,我心爱的小猫琪琪踩到了电脑，并干扰了,我心愛的小貓琪琪踩到了電腦，並干擾了
443,Gary,Log Console 6,,I va interrompre la seqüencia d'aterratge. Normalment estaria molest però...,"a perturbé la séquence d'atterrissage. Je devrais être en colère, mais...","die Landesequenz unterbrochen. Ich wäre verärgert, aber ...","la secuencia de aterrizaje. Debería estar enfadado, pero...","a sequência de aterrissagem. Eu poderia ter ficado aborrecido, mas...","походила по консоли во время захода на посадку. Может, мне стоило ее наругать, но...",着陸シーケンスが妨害されたのだ。 叱りたくなったが...,방해했다. 화나긴 했지만...,着陆序列。我按理说应该生气，但...,降落序列。我按理說應該生氣，但...
444,Gary,Log Console 6,,Ha sigut la meva única companya en tota aquesta missió.,Elle a été ma seule compagnie au cours de cette mission solitaire.,sie war auf dieser einsamen Mission meine einzige Gefährtin.,Ha sido mi única compañía durante esta misión tan solitaria.,Ela tem sido minha única companhia durante esta solitária missão.,Без нее мне было бы так одиноко на этом задании.,キキはこの孤独な任務中、 ずっとわたしを支えてきて...,그 아이는 이 외로운 임무 동안 나의 유일한 동반자였다.,整个孤独的任务中，她是我唯一的同伴。,整個孤獨的任務中，她是我唯一的同伴。
445,Gary,Log Console 6,,Ha demostrat ser un soldat prou competent.,Elle a prouvé sa valeur sur le terrain.,Sie hat sich als ziemlich fähige Soldatin erwiesen.,Ha demostrado ser bastante competente como soldado.,Ela provou ser uma soldada muito competente.,И она оказалась прекрасным солдатом!,今や立派な兵士となった。,꽤 유능한 군인임이 증명되었고 말이다.,所有行为都表明她是一个合格的小战士。,所有行為都顯示她是一個合格的小戰士。
446,Gary,Log Console 6,,Em sento molt orgullós...,Je ressens une certaine fierté,Ich fühle eine Woge des Stolzes ...,Siento un gran orgullo...,Tenho muito orgulho...,Я горжусь ей и горжусь тем...,誇らしさで胸がはりさけそうだ...,내가 2 지구의 정예 부대에서 복무했다는 것에,我深感荣耀与自豪...,我深感榮耀與自豪...
447,Gary,Log Console 6,,D'haver servit a l'exèrcit de la Terra 2.,d'avoir servi dans les rangs de l'élite militaire de la 2e Terre.,Dass ich den Elite-Militärrängen von Erde 2 gedient habe.,Por haber servido a la élite militar de Tierra 2.,de ter feito parte das tropas militares de elite da Terra 2.,Что смог послужить Матери-Земле-2.,わが命の炎は弱まりつつあるが...,자존심이 솟구치는 것 같다...,因为曾服役于地球2号的精英军团。,因為曾服役於地球2號的精英軍團。
448,Gary,Log Console 6,,Em tranquil·litza mentre vaig perdent la meva vida...,"J'y trouve un certain réconfort, alors que mes forces m'abandonnent.","Das macht es mir etwa leichter, jetzt, da meine Lebenskraft schwindet.","Me alivia un poco, ahora que mi fuerza vital se debilita.","Apesar de enfraquecer a cada minuto, sinto uma certa tranquilidade.","Я думаю об этом, чтобы не замечать, как меня медленно покидает жизнь.",アース2の精鋭軍として死ねるなら、 本望だ。,"내 생명력이 약해질수록, 이 자존심이 내게 약간의 여유를 가져다준다.",随着我生命不断流失，我的内心反倒充满了平和。,隨著我生命不斷流失，我的內心反倒充滿了平和。
449,Gary,Log Console 6,,Que malgrat potser moro dins d'aquesta nau infernal...,"Et même si je vais probablement mourir dans ce maudit vaisseau,","Zu wissen, dass obwohl ich vielleicht in dieser Höllenmaschine sterbe,","Aunque fallezca en el interior de esta astronave infernal,","Ainda que eu perca a vida preso no interior destes destroços,","Я думаю о том, что, даже если я умру здесь,",それに、わたしがこの船内で死んでも、,"비록 내가 이 지옥 같은 우주선 안에서 죽더라도,",因此虽然我会在这炼狱一般的机舱中逝去，,因此雖然我會在這煉獄一般的機艙中逝去，
450,Gary,Log Console 6,,És possible que aquesta missió sigui complerta en la meva absència.,ma mission peut encore être réussie sans moi.,die Mission ohne mich abgeschlossen werden kann.,puede que la misión se complete en mi ausencia.,a missão poderá ser cumprida em minha ausência.,задание все равно будет выполнено.,任務はきっとやり遂げられる。,나 없이도 임무는 완수될 수 있을 것이다.,没有我的存在，这任务仍有被完成的可能。,沒有我的存在，這任務仍有被完成的可能。
451,Gary,Log Console 6,,"No podria estar més orgullós de tu, Kiki...","Je suis si fier de toi, Kiki...","Ich könnte nicht stolzer auf dich sein, Kiki ...","No podría estar más orgulloso de ti, Kiki...","Eu não poderia estar mais orgulhoso de você, Kiki...","Я горжусь тобой, Кики...",おまえはわたしの誇りだ、キキ...,"네가 정말이지 자랑스럽구나, 나비야...",你是我永远的骄傲，琪琪...,你是我永遠的驕傲，琪琪...
452,Gary,Log Console 6,,"Molt bona sort, mixeta meva.","Bonne chance, minette.","Viel Glück, liebes Kätzchen.","Suerte, mi dulce gatita.","Boa sorte, minha doce bichana.","С богом, кисонька.",幸運を、愛しのネコちゃん。,"행운을 빈다, 사랑하는 고양아.",祝你好运，我可爱的小猫咪。,祝你好運，我可愛的小貓咪。
453,Gary,Log Console 6,,Canvi i fora.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,完毕。,完畢。
454,Kiki,Log Console 6,,Meu??,Miaou ?,Miau??,¿¿Miau??,Miau???,Мяфф??,みゃおん？？,야옹??,喵喵？？,喵喵？？
455,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL DE LLANÇACOETS.,KIKI A TROUVÉ UN LANCE-ROQUETTE.,KIKI HAT EIN RAKETENMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE COHETE.,KIKI GANHOU UM MÓDULO DE FOGUETE.,НАЙДЕН РАКЕТНЫЙ МОДУЛЬ.,キキは「ロケット」モジュールを 手に入れた。,나비가 로켓 모듈을 획득하였습니다.,琪琪获得了火箭组块。,琪琪獲得了火箭組塊。
456,Gary,Acquiring Item,,Kiki! Has aconseguit un LLANÇACOETS!!,Kiki ! Tu as trouvé un LANCE-ROQUETTE !,Kiki! Du hast eine RAKETE gefunden!,¡Kiki! ¡Tienes un COHETE!,Kiki! Você ganhou um FOGUETE!!!,Кики! У тебя есть РАКЕТА!!,キキ！ロケットを手に入れたな！！,나비야! 로켓을 찾아냈구나!,琪琪！你搞到了个火箭！,琪琪！你搞到了個火箭！
457,Gary,Acquiring Item,,Pitja [BTN_SHOOT2] per fer-lo servir.,Appuie sur [BTN_SHOOT2] pour tirer.,"Drücke [BTN_SHOOT2], um sie einzusetzen.",Pulsa [BTN_SHOOT2] para usarlo.,Pressione [BTN_SHOOT2] para usá-lo.,"Нажми [BTN_SHOOT2], чтобы использовать ее.",使うには[BTN_SHOOT2]を押すんだ。,[BTN_SHOOT2] 버튼을 누르면 사용할 수 있어.,按[BTN_SHOOT2]就可以使用。,按[BTN_SHOOT2]就可以使用。
458,Gary,Acquiring Item,,Enderroca tots els maons! I també pot augmentar el teu salt!,Tu peux détruire des briques ! Ou l'utiliser pour sauter plus haut !,Zerstöre Steine! Erhöhe deine Sprungweite!,¡Destroza los ladrillos! ¡Amplifica tu salto!,Destrua tijolos! Aumente seus saltos!,Разбивай блоки! Прыгай еще выше!,ブロックをぶっ壊せ！より高く ジャンプしろ！,벽돌 더미를 박살 내버려! 점프의 위력을 올려봐!,去打碎砖块！强化跳跃！,去打碎磚塊！強化跳躍！
459,Gary,Acquiring Item,,CANVI I FORA.,TERMINÉ.,ENDE UND AUS.,CAMBIO Y CORTO.,"CÂMBIO, DESLIGO.",КОНЕЦ СВЯЗИ.,通信を終了する。,통신 끝.,完毕。,完畢。
460,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL DE SALT GIRATORI.,KIKI A TROUVÉ UN MODULE DOUBLE SAUT.,KIKI HAT EIN DREHSPRUNGMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE SALTO GIRATORIO.,KIKI GANHOU UM MÓDULO DE SUPER SALTO.,НАЙДЕН МОДУЛЬ СУПЕРПРЫЖКА,キキは「スピンジャンプ」モジュールを手に入れた。,나비가 스핀 점프 모듈을 획득하였습니다.,琪琪获得了螺旋弹跳组块。,琪琪獲得了螺旋彈跳組塊。
461,Gary,Acquiring Item,,Kiki! Has aconseguit el SALT GIRATORI!!,Kiki ! Tu as trouvé le DOUBLE SAUT !,Kiki! Du hast das DREHSPRUNGMODUL!,¡Kiki! ¡Tienes el SALTO GIRATORIO!,Kiki! Você ganhou o SUPER SALTO!!!,Кики! Ты теперь можешь сделать СУПЕРПРЫЖОК!,キキ！スピンジャンプを手に入れたな！,나비야! 스핀 점프를 찾아냈구나!,琪琪！你解锁了螺旋弹跳！,琪琪！你解鎖了螺旋彈跳！
462,Gary,Acquiring Item,,Pitja [BTN_JUMP] a l'aire per saltar més. També faràs mal als enemics!,Appuie sur [BTN_JUMP] en l'air pour sauter plus loin et attaquer tes ennemis !,"Drücke in der Luft [BTN_JUMP], um Lücken zu überwinden und Gegnern Schaden zuzufügen!",¡Pulsa [BTN_JUMP] en el aire para salvar huecos y dañar a los enemigos!,Pressione [BTN_JUMP] no ar para saltar sobre buracos e causar dano aos inimigos!,"Нажми [BTN_JUMP] в воздухе, чтобы ранить врага!",空中で[BTN_JUMP]を押して穴を飛び越え、 敵に体あたりしろ！,"공중에서 [BTN_JUMP] 버튼을 눌러 허공을 가로지르고, 적들을 공격할 수도 있어!",在半空中按[BTN_JUMP]就可以穿过缺口，攻击敌人！,在半空中按[BTN_JUMP]就可以穿過缺口，攻擊敵人！
463,Gary,Acquiring Item,,"Caram, estàs millorant molt aquest vestit...",Ta combinaison commence à avoir fière allure...,Du motzt diesen Anzug richtig auf ...,"Caray, estás potenciando mucho el traje...",Agora o seu traje está muito mais poderoso!,"Слушай, а ты уже прилично костюм усилила...",まったく、どんどん強くなっていくな...,슈트의 위력이 점점 발전하는구나...,天啊，你这宇航服真是威力大增啊......,天啊，你這太空衣真是威力大增啊......
464,Gary,Acquiring Item,,CANVI I FORA.,TERMINÉ.,ENDE UND AUS.,CAMBIO Y CORTO.,"CÂMBIO, DESLIGO.",КОНЕЦ СВЯЗИ.,通信を終了する。,통신 끝.,完毕。,完畢。
465,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL DE SALUT.,KIKI A TROUVÉ UNE TROUSSE DE SOINS.,KIKI HAT EIN NRG-KIT ERHALTEN.,KIKI TIENE UN MÓDULO DE BOTIQUÍN.,KIKI GANHOU UM MÓDULO DE REFORÇO VITAL.,НАЙДЕН МОДУЛЬ ПРОЧНОСТИ.,キキは「ヘルスキット」モジュールを手に入れた。,나비가 헬스키트를 획득하였습니다.,琪琪获得了医疗组块。,琪琪獲得了醫療組塊。
466,Gary,Acquiring Item,,Kiki! Has aconseguit un mòdul de SALUT!!,Kiki ! Tu as trouvé une TROUSSE DE SOINS !,Kiki! Du hast ein NRG-KIT gefunden!,¡Kiki! ¡Tienes un BOTIQUÍN!,Kiki! Você ganhou um REFORÇO VITAL!!!,Кики! Ты нашла МОДУЛЬ ПРОЧНОСТИ!,キキ！ヘルスキットを手に入れたな！！,나비야! 헬스키트를 찾아냈구나!,琪琪！你得到了个医疗箱！！,琪琪！你得到了個醫療箱！！
467,Gary,Acquiring Item,,Ha augmentat la teva salut màxima! Molt bé Kiki!,"Ta santé maximale a augmenté ! Bien joué, Kiki !","Maximale NRG wurde erhöht! Gute Arbeit, Kiki!","¡Tu salud máxima ha aumentado! ¡Buen trabajo, Kiki!","Sua vida máxima aumentou! Bom trabalho, Kiki!","Теперь костюм сложнее сломать! Умница, Кики!",最大HPが上昇したぞ！ よくやった、キキ！,"최대 최력이 증가했어! 아주 잘했어, 나비야!",最大生命值上升了！干得漂亮，琪琪！,最大生命值上升了！做得漂亮，琪琪！
468,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL EMBRANZIDA.,KIKI A TROUVÉ UN MODULE DÉPHASEUR.,KIKI HAT EIN PHASENSCHUBMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE SPRINT.,KIKI GANHOU UM MÓDULO DE ARREMETIDA.,НАЙДЕН ВАРП-МОДУЛЬ.,キキは「フェイズ」モジュールを 手に入れた。,나비가 페이즈 모듈을 획득하였습니다.,琪琪获得了相位移动组块。,琪琪獲得了相位移動組塊。
469,Gary,Acquiring Item,,Kiki! Has aconseguit el MÒDUL EMBRANZIDA!,Kiki ! Tu as trouvé le DÉPHASEUR !,Kiki! Du hast das PHASENSCHUBMODUL!,¡Kiki! ¡Tienes el MÓDULO DE SPRINT!,Kiki! Você ganhou o MÓDULO DE ARREMETIDA!,Кики! Ты нашла ВАРП-МОДУЛЬ!,キキ！フェイズモジュールを 手に入れたな！！,나비야! 페이즈 모듈을 찾아냈구나!,琪琪！你解锁了相位移动！,琪琪！你解鎖了相位移動！
470,Gary,Acquiring Item,,Pitja [BTN_DASH] per fer-lo servir.,Appuie sur [BTN_DASH] pour l'utiliser.,"Drücke [BTN_DASH], um es einzusetzen.",Pulsa [BTN_DASH] para usarlo.,Pressione [BTN_DASH] para usá-lo.,"Нажми [BTN_DASH], чтобы использовать его.",使うには[BTN_DASH]を押すんだ。,[BTN_DASH] 버튼을 누르면 사용할 수 있어.,按[BTN_DASH]就可以使用。,按[BTN_DASH]就可以使用。
471,Gary,Acquiring Item,,Podràs travessar obstacles i barreres!!,Tu peux franchir des obstacles et des barrières !,ZISCHE an Hindernissen vorbei und RAUSCHE durch Barrieren hindurch!,¡Supera los obstáculos y atraviesa las barreras!,Atravesse obstáculos e barreiras como se você fosse imaterial!,Теперь ты можешь телепортироваться за препятствия и через стены!,障害物やバリアを突き抜けられるぞ！！,장애물을 뚫고 팍! 장벽을 뚫고 팍!!,冲刺穿过所有障碍物吧！,衝刺穿過所有障礙物吧！
472,Gary,Acquiring Item,,És increïble!,C'est génial !,Damit wirst du zur Flitzekatze!,¡Es un auténtico desfase!,Incrível!,Вот это да!,無敵のダッシュを見せてやれ！,한 마디로 대시하는 거야!,亮相绝对酷炫！,超級帥的！
473,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL REFRIGERANT.,KIKI A TROUVÉ UN MODULE RÉFRIGÉRANT.,KIKI HAT EIN KÜHLMITTELMODUL ERHALTEN.,KIKI TIENE UN MÓDULO REFRIGERANTE.,KIKI GANHOU UM MÓDULO DE RESFRIADOR.,НАЙДЕН ОХЛАЖДАЮЩИЙ МОДУЛЬ,キキは「クーラント」モジュールを 手に入れた。,나비가 냉각 모듈을 획득하였습니다,琪琪获得了冷却组块。,琪琪獲得了冷卻組塊。
474,Gary,Acquiring Item,,Kiki! Has aconseguit el REFRIGERANT!!,Kiki ! Tu as trouvé le FLUIDE RÉFRIGÉRANT !,Kiki! Du hast das KÜHLMITTEL!,¡Kiki! ¡Tienes el REFRIGERANTE!,Kiki! Você ganhou o RESFRIADOR!,Кики! Ты нашла ОХЛАЖДАЮЩИЙ МОДУЛЬ!,キキ！クーラントを手に入れたな！！,나비야! 냉각 모듈을 찾아냈구나!,琪琪！你获得了冷却仪！！,琪琪！你獲得了冷卻器！！
475,Gary,Acquiring Item,,Ara podràs llançar tres coets abans de sobreescalfar-te!,Tu vas pouvoir tirer trois roquettes avant de surchauffer !,"Jetzt kannst du drei Raketen abfeuern, bevor du überhitzt.",¡Ahora puedes disparar tres cohetes antes de sobrecalentarte!,Agora você pode disparar três foguetes antes de superaquecer!,Теперь до перегрева можно выстрелить целых три ракеты!,これでオーバーヒートするまでに、 ロケットを3発撃てるようになった！,이제 과열되기 전에 로켓을 세 발 발사할 수 있어!,现在在火箭炮过热之前能发射三枚火箭弹了！,現在在火箭炮過熱之前能發射三枚火箭彈了！
476,Gary,Acquiring Item,,REFRESCANT.,COOL !,YEAH.,GENIAL.,Que máximo!,О ДА.,ああ、わかるよ。,좋지?,太好了！,太好了！
477,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT EL MÒDUL SALTADOR.,KIKI A TROUVÉ UN MODULE À RESSORTS.,KIKI HAT EIN HOPSMODUL ERHALTEN.,KIKI TIENE UN MÓDULO SALTARÍN.,KIKI GANHOU UM MÓDULO DE ULTRA SALTO.,НАЙДЕН ПРЫЖКОВЫЙ МОДУЛЬ,キキは「ホッパー」モジュールを 手に入れた。,나비가 호퍼 모듈을 획득하였습니다,琪琪获得了跳跃组块。,琪琪獲得了跳躍組塊。
478,Rebecca Brown,Acquiring Item,,Les embranzides recarregaran el salt giratori...,"Lorsque tu déphases, tu recharges ton double saut...",Durch die Verwendung des Phasenschubs lädst du jetzt deinen Drehsprung auf ...,"Ahora, el sprint recarga tu salto giratorio...",Agora as arremetidas recarregam seu super salto...,Варп-прыжок теперь заряжает суперпрыжок...,これでフェイズ中にスピンジャンプを リチャージできて...,이제 페이즈하면 스핀 점프를 재충전해...,现在相位移动可以为你的螺旋弹跳充能...,現在相位移動可以為你的螺旋彈跳充能...
479,Rebecca Brown,Acquiring Item,,I el salt giratori ara fa més mal!,Et tu vas pouvoir infliger encore plus de dégâts !,Dein Drehsprung verursacht zudem etwas mehr Schaden.,¡Y tu salto giratorio hace un poco más de daño!,"E, além disso, seu super salto causa mais dano!",А еще он наносит немного больше урона!,スピンアタックの威力もアップするわ！,덤으로 스핀 점프의 공격력도 오르고!,同时，你的螺旋弹跳的杀伤力高了一点！,同時，你的螺旋彈跳的殺傷力高了一點！
480,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL REPETIDOR.,KIKI A TROUVÉ UN MODULE RÉPÉTITEUR.,KIKI HAT EIN DAUERFEUERMODUL ERHALTEN.,KIKI TIENE UN MÓDULO REPETIDOR.,KIKI GANHOU UM MÓDULO DE REPETIDOR.,НАЙДЕН АВТОБЛАСТЕР-МОДУЛЬ,キキは「リピーター」モジュールを 手に入れた。,나비가 리피터 모듈을 획득하였습니다,琪琪获得了连发组块。,琪琪獲得了連發組塊。
481,Rebecca Brown,Acquiring Item,,Kiki! Has aconseguit el MÒDUL REPETIDOR... Caram!,Kiki ! Tu as trouvé le RÉPÉTITEUR... Wouah !,Kiki! Du hast das DAUERFEUERMODUL ... Oh!,¡Kiki! Tienes el MÓDULO REPETIDOR... ¡Vaya!,Kiki! Você ganhou o MÓDULO DE REPETIDOR... Opa!,Кики! Ты нашла АВТОБЛАСТЕР-МОДУЛЬ Вот это я понимаю!,キキ！リピーターモジュールを 手に入れたわね...すごッ！,나비야! 리피터 모듈을 찾아냈구나... 우와!,琪琪！你解锁了连发组块...哇哦！,琪琪！你解鎖了連發組塊...哇哦！
482,Rebecca Brown,Acquiring Item,,Mantén pitjat [BTN_SHOOT] i continuaràs disparant!,Tu peux maintenir [BTN_SHOOT] pour l'utiliser !,"Halte einfach [BTN_SHOOT] gedrückt, um mit diesem Ungetüm zu feuern!",¡Solo tienes que mantener pulsado [BTN_SHOOT] para usar esa maravilla!,Basta segurar [BTN_SHOOT] e lançar essa belezinha!,"Удерживай [BTN_SHOOT], чтобы высвободить всю свою мощь!",さあ[BTN_SHOOT]を押し続けて、イケない 坊やを解き放ってあげて！,이제 [BTN_SHOOT] 버튼을 누르고 있으면 계속 발사할 수 있어!,长按[BTN_SHOOT]键，喷泄怒火吧！,長按[BTN_SHOOT]鍵，發洩怒火吧！
483,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL DE TRET GROS.,KIKI A TROUVÉ UN MODULE GROS CALIBRE.,KIKI HAT EIN KANONENMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE CAÑONAZO.,KIKI GANHOU UM MÓDULO DE SUPER TIRO.,НАЙДЕН УСИЛИТЕЛЬ,キキは「ビッグショット」モジュールを手に入れた。,나비가 큰총 모듈을 획득하였습니다,琪琪获得了巨弹组块。,琪琪獲得了巨彈組塊。
484,Gary,Acquiring Item,,Kiki! Has aconseguit el MÒDUL DE TRET GROS... Apa!,Kiki ! Tu as trouvé un GROS CALIBRE... Wouah !,Kiki! Du hast das KANONENMODUL ... Oh!,¡Kiki! Tienes el MÓDULO DE CAÑONAZO... ¡Vaya!,Kiki! Você ganhou o MÓDULO DE SUPER TIRO... Opa!,Кики! Ты нашла УСИЛИТЕЛЬ... Вот это да!,キキ！ビッグショットを 手に入れたか...すごいぞ！,나비야! 큰총 모듈을 찾아냈구나... 우와!,琪琪！你解锁了巨弹组块...哇哦！,琪琪！你解鎖了巨彈組塊...哇哦！
485,Gary,Acquiring Item,,Això fa que els teus trets siguin molt més mortífers!,Ton arme va tirer des munitions plus puissantes !,Das Modul macht deinen normalen Schuss deutlich stärker.,¡Esto hace que tu disparo normal sea mucho más potente!,Agora o seu tiro normal ficou muito mais potente!,Теперь твоя пушка стала намного мощнее!,ノーマルショットが強力になった！,이게 있으면 일반 공격이 더 강력해질 거야!,这会让你普通状态下的一发子弹威力强劲许多！,這會讓你普通狀態下的一發子彈威力強勁許多！
486,Gary,Acquiring Item,,"Va, prova-ho, Kiki.","Essaie-le, Kiki.","Feuer frei, Kiki.","Seguro que va como un TIRO, Kiki.",Experimente!,"Иди убей кого-нибудь, киса.",試し撃ちしてみろ、キキ。,"한번 쏴봐, 나비야.",快去来一发，琪琪。,快去來一發，琪琪。
487,Kiki,Acquiring Item,,Meu meu?,"Miaou, miaou ?","Miau, miau?",¿Miau miau?,Miau miau?,Мя-мя?,にゃんにゃんにゃん？,야옹 야옹?,喵喵？？,喵喵？？
